Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Ведущий программист,ИСЭ СО РАН,60 000 – 60 000 ₽ на руки,https://tomsk.hh.ru/vacancy/99037220?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С / Консультант 1С,АО Стройкомплект ТДСК,от 80 000 ₽ на руки,https://tomsk.hh.ru/vacancy/91783965?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle/Senior Frontend-разработчик React Js+Next Js,ИП Сай Егор Павлович,150 000 – 200 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/98244903?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
.NET Core Developer,Loymax,от 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/82919446?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (middle),ООО Стартекст Томск,120 000 – 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/98779213?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист станков с ЧПУ,ООО Бизнес Энерджи,100 000 – 150 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/97582398?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Продакт Разработчик Python AI,LATOKEN,1 900 – 2 700 $ до вычета налогов,https://tomsk.hh.ru/vacancy/98570813?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,АО Томский завод электроприводов,от 120 000 ₽ на руки,https://tomsk.hh.ru/vacancy/94332910?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Головное подразделение Сибагро,138 000 – 175 000 ₽ на руки,https://tomsk.hh.ru/vacancy/92129406?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,ООО Тракт-Автоматика,75 000 – 95 000 ₽ на руки,https://tomsk.hh.ru/vacancy/99000135?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
